date,tournament,home_team,away_team,home_goals,away_goals,goal_diff,home_win,overall_diff,age_diff,balance_diff,player_pool_diff,rank_advantage,points_diff
2005-01-12,Friendly,Costa Rica,Haiti,3,3,0,0,6.369458128078826,1.7733990147783238,-1.032329321640355,15.0,36.0,195.23000000000002
2005-01-26,Friendly,Ecuador,Panama,2,0,2,1,4.826013513513516,1.2415540540540526,1.004302311017911,21.0,8.0,27.8900000000001
2005-01-26,Friendly,Mexico,Sweden,0,0,0,0,1.136352657004835,-0.1917874396135275,-0.2666635171144476,-8.0,12.0,112.91999999999985
2005-01-29,Friendly,Ecuador,Panama,2,0,2,1,4.826013513513516,1.2415540540540526,1.004302311017911,21.0,8.0,27.8900000000001
2005-01-29,Friendly,Japan,Kazakhstan,4,0,4,1,-3.727078891257996,0.5650319829424291,4.205709064716134,466.0,91.0,435.19000000000005
2005-02-02,Friendly,Hungary,Saudi Arabia,0,0,0,0,7.371313562802918,0.8558284728497512,-0.807283303717413,-292.0,25.0,87.47000000000003
2005-02-02,Friendly,Japan,Syria,3,0,3,1,-10.227078891257996,0.23169864960909692,0.5577005661389576,463.0,75.0,382.1299999999999
2005-02-09,Friendly,Bulgaria,Serbia,0,0,0,0,-3.3223969013442627,2.0410116199589865,-0.2585947378080702,-100.0,-50.0,-211.4000000000001
2005-02-09,Friendly,Cameroon,Senegal,1,0,1,1,-0.6511627906976827,-0.47674418604651336,0.4113356969215358,-43.0,-32.0,-164.8699999999999
2005-02-09,Friendly,Chile,Ecuador,3,0,3,1,0.382486486486485,1.671279279279279,-0.7457491905930764,338.0,-16.0,-40.940000000000055
2005-02-09,FIFA World Cup qualification,Costa Rica,Mexico,1,2,-1,0,4.007950191570885,1.4170498084291197,-0.9966637613205496,-331.0,-32.0,-165.41999999999985
2005-02-09,Friendly,Egypt,Belgium,4,0,4,1,1.873161764705884,3.3566176470588225,-3.2343260224943755,-240.0,-30.0,-270.10000000000014
2005-02-09,Friendly,England,Netherlands,0,0,0,0,-4.9906674102993165,-0.10834012613153732,0.7855382338200618,1201.0,3.0,53.75
2005-02-09,Friendly,France,Sweden,1,1,0,0,2.775429003289773,-0.4845958922379303,0.6458077016554853,610.0,27.0,332.72
2005-02-09,Friendly,Germany,Argentina,2,2,0,0,-1.864925915825836,-1.7300109080992634,0.3573274008502709,175.0,-12.0,-181.23000000000002
2005-02-09,FIFA World Cup qualification,Greece,Denmark,2,1,1,1,5.507077975698948,0.05420549722779455,-1.1425547112340801,-248.0,-33.0,-151.56999999999994
2005-02-09,Friendly,Republic of Ireland,Portugal,1,0,1,1,-10.525114513293993,-0.5709328994570022,1.0561992280761423,50.0,-50.0,-337.59000000000015
2005-02-09,Friendly,Israel,Croatia,3,3,0,0,2.0932721712538296,1.8516819571865426,-3.5770227107574826,-97.0,-66.0,-388.77
2005-02-09,FIFA World Cup qualification,Morocco,Kenya,5,1,4,1,2.5109890109890216,-1.802197802197803,-3.1729135132130573,71.0,94.0,471.71000000000004
2005-02-09,Friendly,Northern Ireland,Canada,0,1,-1,0,-1.5778012684989378,0.2672304439746327,1.7531249086176395,31.0,-34.0,-153.33000000000015
2005-02-09,Friendly,Poland,Belarus,1,3,-2,0,-6.721397955819313,-4.324101549620838,2.7792288419488296,328.0,71.0,303.75
2005-02-09,Friendly,South Africa,Australia,1,1,0,0,4.579953086561012,1.765146747525602,-0.906100624630823,-150.0,-33.0,-156.13999999999987
2005-02-09,FIFA World Cup qualification,Uzbekistan,Saudi Arabia,1,1,0,0,7.311854103343471,2.347720364741644,1.7818223419989918,-324.0,-5.0,-33.88999999999987
2005-02-09,Friendly,Wales,Hungary,2,0,2,1,-4.215557020435057,-1.1812788398154268,1.8134834158415662,86.0,1.0,2.630000000000109
2005-02-16,Friendly,Costa Rica,Ecuador,1,2,-1,0,-0.8583410997204055,-0.7092264678471558,0.5143402400522641,-8.0,-22.0,-60.75
2005-02-21,UNCAF Cup,Costa Rica,El Salvador,2,1,1,1,0.6551724137931103,-3.155172413793103,3.8588708025135317,27.0,32.0,167.58000000000015
2005-02-23,Friendly,Mexico,Colombia,1,1,0,0,-0.030142642642644546,-0.4607357357357351,0.13403305181747527,-232.0,-8.0,-92.21000000000004
2005-02-23,UNCAF Cup,Panama,Costa Rica,0,1,-1,0,-3.9676724137931103,-0.5323275862068968,-1.518642551070175,-13.0,14.0,32.8599999999999
2005-02-27,UNCAF Cup,Costa Rica,Honduras,1,1,0,0,-0.1909814323607293,-1.0397877984084865,2.4198361035140445,16.0,30.0,158.21000000000004
2005-03-09,Friendly,Mexico,Argentina,1,1,0,0,-2.1185808865860594,-1.0048647092688547,-0.2504941737376889,-605.0,-16.0,-232.1400000000001
2005-03-14,Friendly,Saudi Arabia,Egypt,0,1,-1,0,-8.880604103343465,-1.9977203647416424,1.6553108330577402,297.0,-20.0,-71.03999999999996
2005-03-18,Friendly,Saudi Arabia,Finland,1,4,-3,0,-3.2183057162466966,0.4296989900970658,-0.8576740743027189,267.0,7.0,37.899999999999864
2005-03-23,Friendly,Kenya,Ghana,2,2,0,0,0.38217338217337726,2.9902319902319903,2.771707400518377,-110.0,-44.0,-183.51999999999998
2005-03-26,Friendly,Australia,Iraq,2,1,1,1,-5.020068526676447,-1.6872246696035234,1.983023317666273,218.0,31.0,138.22000000000003
2005-03-26,FIFA World Cup qualification,Bolivia,Argentina,1,2,-1,0,-2.2991364421416165,1.4006908462867003,-3.08881218355342,-935.0,-88.0,-608.69
2005-03-26,FIFA World Cup qualification,Chile,Uruguay,1,1,0,0,1.418875816993463,2.6011503267973843,-1.9441822577112173,222.0,-32.0,-223.6500000000001
2005-03-26,FIFA World Cup qualification,Costa Rica,Panama,2,1,1,1,3.9676724137931103,0.5323275862068968,1.518642551070175,13.0,-14.0,-32.8599999999999
2005-03-26,FIFA World Cup qualification,Croatia,Iceland,4,0,4,1,2.9790548727713286,-0.6975939068720791,1.7337265513976936,56.0,59.0,347.8299999999999
2005-03-26,FIFA World Cup qualification,Denmark,Kazakhstan,3,0,3,1,-2.690751445086704,-1.6358381502890182,5.519618862647928,343.0,88.0,413.9000000000001
2005-03-26,FIFA World Cup qualification,England,Northern Ireland,4,0,4,1,0.593194464260236,-1.6385076330432327,-0.04193603347562558,1544.0,70.0,470.93000000000006
2005-03-26,FIFA World Cup qualification,France,Switzerland,0,0,0,0,3.457972388249651,0.5791753337370658,-0.8846170449234032,745.0,13.0,200.81000000000017
2005-03-26,FIFA World Cup qualification,Morocco,Guinea,1,0,1,1,0.8938461538461553,0.12923076923076948,-0.8188014589510964,53.0,63.0,344.6400000000001
2005-03-26,FIFA World Cup qualification,Poland,Azerbaijan,8,0,8,1,-0.22933446375583344,0.23145400593471877,2.381160291182523,330.0,83.0,343.64999999999986
2005-03-26,Friendly,Portugal,Canada,4,1,3,1,6.544909586326483,-0.029328709437699274,0.6699581527116534,312.0,32.0,246.76999999999998
2005-03-26,FIFA World Cup qualification,Romania,Netherlands,0,2,-2,0,0.6682074987159723,2.700841531350008,-0.8043805948282152,-370.0,-38.0,-283.80999999999995
2005-03-26,FIFA World Cup qualification,Senegal,Liberia,6,1,5,1,4.302325581395351,3.546511627906977,2.174626852450709,127.0,123.0,556.29
