date,tournament,home_team,away_team,home_goals,away_goals,goal_diff,home_win,overall_diff,attack_diff,midfield_diff,defense_diff,goalkeeper_diff,age_diff,balance_diff,player_pool_diff,elite_player_diff,rank_advantage,points_diff,strength_diff,spine_diff,rank_points_blend,attack_vs_defense_gap,abs_strength_gap,recent_win_rate_diff_5,recent_goal_diff_diff_10,recent_goals_for_diff_10,recent_goals_against_diff_10,recent_match_count_diff
2005-01-12,Friendly,Costa Rica,Haiti,3,3,0,0,6.369458128078826,4.075000000000003,7.854700854700859,3.7727272727272663,5.666666666666671,1.7733990147783238,-1.032329321640355,15.0,1.0,64.0,191.0,5.547710584434725,5.764698264698265,2.1109999999999998,0.3022727272727366,5.547710584434725,0.39999999999999997,1.5,1.0,-0.5,328
2005-01-15,Friendly,Colombia,South Korea,2,1,1,1,1.1894860769860855,2.891071428571422,1.1909071459135703,1.265603328710128,-2.7735849056603783,-0.45694103194103164,1.3514794635110121,262.0,5.0,-4.0,-13.0,0.7526966149041655,-0.10569147701222666,-0.133,1.625468099861294,0.7526966149041655,-0.19999999999999996,-1.0999999999999999,-0.7,0.3999999999999999,-450
2005-01-19,Friendly,Paraguay,South Korea,1,1,0,0,5.178787878787887,5.767261904761895,5.624435411020784,4.523809523809518,3.4000000000000057,0.2559947299077763,0.525762358176717,-261.0,-1.0,-13.0,-51.0,4.898858943676018,4.516081644943436,-0.441,1.2434523809523768,4.898858943676018,-0.19999999999999996,-0.8,-0.8999999999999999,-0.09999999999999998,-328
2005-01-22,Friendly,Sweden,South Korea,1,1,0,0,0.022990777338605994,0.976785714285711,-0.7026449160595547,0.22294372294372522,-0.2820512820512846,-0.7258893280632392,1.752176032442935,38.0,3.0,4.0,14.0,0.04760480329144059,-0.2539174917223714,0.134,0.7538419913419858,0.04760480329144059,-0.2,-0.30000000000000004,-0.2999999999999998,0.0,-330
2005-01-26,Friendly,Ecuador,Panama,2,0,2,1,4.826013513513516,8.563636363636363,3.816176470588232,4.857142857142861,4.8125,1.2415540540540526,1.004302311017911,21.0,1.0,50.0,132.0,5.375093840976194,4.495273109243698,1.6320000000000001,3.7064935064935014,5.375093840976194,0.2,1.0,0.7,-0.2999999999999998,303
2005-01-26,Friendly,Mexico,Sweden,0,0,0,0,1.136352657004835,0.19126984126984325,2.391588543906437,1.4541186513017408,-0.5179487179487126,-0.1917874396135275,-0.2666635171144476,-8.0,2.0,12.0,58.0,0.9310761951068287,1.109252825753155,0.418,-1.2628488100318975,0.9310761951068287,1.0,1.2,1.1999999999999997,0.0,270
2005-01-29,Friendly,Ecuador,Panama,2,0,2,1,4.826013513513516,8.563636363636363,3.816176470588232,4.857142857142861,4.8125,1.2415540540540526,1.004302311017911,21.0,1.0,50.0,132.0,5.375093840976194,4.495273109243698,1.6320000000000001,3.7064935064935014,5.375093840976194,0.4,1.9,0.8,-1.1,303
2005-01-29,Friendly,Japan,Kazakhstan,4,0,4,1,-3.727078891257996,-2.0267857142857153,-3.1563786008230466,-3.827380952380949,-6.789473684210527,0.5650319829424291,4.205709064716134,466.0,1.0,135.0,416.0,-3.905419568591647,-4.591077745804841,4.466,1.8005952380952337,3.905419568591647,0.6,2.8,1.5,-1.2999999999999998,394
2005-02-02,Friendly,Hungary,Saudi Arabia,0,0,0,0,7.371313562802918,5.096363636363641,6.796385542168679,6.907550077041606,10.110638297872335,0.8558284728497512,-0.807283303717413,-292.0,0.0,-38.0,-102.0,7.256450223249836,7.938191305694207,-1.242,-1.8111864406779645,7.256450223249836,-0.19999999999999996,-1.8,-0.5999999999999999,1.2000000000000002,-145
2005-02-02,Friendly,Iran,Bosnia and Herzegovina,2,1,1,1,-0.8609625668449183,0.4141414141414117,-2.566666666666663,0.16176470588234793,-3.3333333333333286,-1.208556149732619,-1.9709251590477441,-38.0,-5.0,62.0,176.0,-1.23701128936423,-1.9127450980392144,2.036,0.2523767082590638,1.23701128936423,0.6000000000000001,1.7999999999999998,1.5999999999999999,-0.19999999999999996,265
2005-02-02,Friendly,Japan,Syria,3,0,3,1,-10.227078891257996,-13.026785714285715,-5.1563786008230466,-10.327380952380949,-13.289473684210527,0.23169864960909692,0.5577005661389576,463.0,1.0,84.0,231.0,-10.405419568591647,-9.59107774580484,2.751,-2.6994047619047663,10.405419568591647,0.6000000000000001,2.5,0.8999999999999999,-1.6,353
2005-02-04,Friendly,South Korea,Egypt,0,1,-1,0,-5.480871212121215,-7.487499999999997,-4.420731707317074,-4.571428571428569,-6.666666666666671,-1.404545454545456,0.6847913133687102,298.0,0.0,5.0,25.0,-5.725439631506705,-5.219608981804105,0.175,-2.9160714285714278,5.725439631506705,-0.19999999999999996,0.9,0.8,-0.09999999999999987,494
2005-02-09,Friendly,Bulgaria,Serbia,0,0,0,0,-3.3223969013442627,-0.6944444444444429,-2.6195804195804158,-5.028911564625858,-3.6769230769230816,2.0410116199589865,-0.2585947378080702,-100.0,-7.0,1.0,-2.0,-3.068451281383612,-3.775138353709785,0.027999999999999997,4.334467120181415,3.068451281383612,-0.19999999999999996,-0.4,-0.30000000000000004,0.09999999999999998,61
2005-02-09,Friendly,Cameroon,Senegal,1,0,1,1,-0.6511627906976827,0.1071428571428612,-1.4447174447174405,-1.3918367346938822,4.371428571428567,-0.47674418604651336,0.4113356969215358,-43.0,-1.0,12.0,35.0,0.19817089169248447,0.5116247973390813,0.395,1.4989795918367435,0.19817089169248447,-0.39999999999999997,-0.8,-0.30000000000000004,0.5,-38
2005-02-09,Friendly,Chile,Ecuador,3,0,3,1,0.382486486486485,-2.3130034522439615,1.2016806722689068,1.044117647058826,0.27777777777777146,1.671279279279279,-0.7457491905930764,338.0,6.0,-39.0,-101.0,0.11861182626960556,0.8411920323685015,-1.271,-3.3571210993027876,0.11861182626960556,-0.6,-0.4,-0.5,-0.10000000000000009,-52
2005-02-09,FIFA World Cup qualification,Costa Rica,Mexico,1,2,-1,0,4.007950191570885,1.5694444444444429,3.3087111563932723,5.16709346991037,8.466666666666669,1.4170498084291197,-0.9966637613205496,-331.0,-5.0,-18.0,-77.0,4.503973185797127,5.6474904309901035,-0.617,-3.597649025465927,4.503973185797127,-0.20000000000000007,-1.9,-0.8,1.1,-193
2005-02-09,Friendly,Egypt,Belgium,4,0,4,1,1.873161764705884,1.8472222222222285,1.143939393939391,1.36666666666666,3.59349593495935,3.3566176470588225,-3.2343260224943755,-240.0,-18.0,24.0,79.0,1.9648971964987028,2.034700665188467,0.7989999999999999,0.4805555555555685,1.9648971964987028,0.39999999999999997,0.6,0.19999999999999996,-0.40000000000000013,-437
2005-02-09,Friendly,England,Netherlands,0,0,0,0,-4.9906674102993165,-5.5246808510638346,-5.277946823743818,-5.0725206416978,-4.755555555555546,-0.10834012613153732,0.7855382338200618,1201.0,20.0,-5.0,-37.0,-5.124274256472063,-5.0353410069990545,-0.187,-0.45216020936603485,5.124274256472063,-0.20000000000000007,-0.10000000000000009,-0.10000000000000009,0.0,212
2005-02-09,Friendly,France,Sweden,1,1,0,0,2.775429003289773,2.5935332157554427,3.23691374128056,2.7903453136011223,2.0539811066126816,-0.4845958922379303,0.6458077016554853,610.0,43.0,10.0,39.0,2.690040476107916,2.693746720498121,0.33899999999999997,-0.19681209784567955,2.690040476107916,0.4,0.19999999999999996,-0.10000000000000009,-0.30000000000000004,299
2005-02-09,Friendly,Germany,Argentina,2,2,0,0,-1.864925915825836,-2.3342312474098605,-1.8533900369902767,-1.791704419611392,-1.079146141215105,-1.7300109080992634,0.3573274008502709,175.0,19.0,-9.0,-64.0,-1.7846795522104941,-1.5747468659389245,-0.334,-0.5425268277984685,1.7846795522104941,0.0,-0.3999999999999999,-0.5,-0.09999999999999998,-61
2005-02-09,FIFA World Cup qualification,Greece,Denmark,2,1,1,1,5.507077975698948,6.3638554216867504,5.104545454545452,6.567562523329599,5.466666666666669,0.05420549722779455,-1.1425547112340801,-248.0,-1.0,0.0,0.0,5.801941608385484,5.712924881513906,0.0,-0.20370710164284844,5.801941608385484,0.19999999999999996,-0.6000000000000001,-0.8,-0.19999999999999996,-511
2005-02-09,Friendly,Republic of Ireland,Portugal,1,0,1,1,-10.525114513293993,-10.808333333333337,-10.864047619047618,-10.949817518248182,-10.378191489361704,-0.5709328994570022,1.0561992280761423,50.0,-19.0,-5.0,-28.0,-10.705100894656967,-10.730685542219168,-0.178,0.1414841849148445,10.705100894656967,-0.4,-1.7,-1.8000000000000003,-0.09999999999999998,-213
2005-02-09,Friendly,Israel,Croatia,3,3,0,0,2.0932721712538296,3.530000000000001,0.9583333333333286,2.0365853658536537,-2.2727272727272663,1.8516819571865426,-3.5770227107574826,-97.0,-12.0,-26.0,-97.0,1.2690927195427093,0.240730475486572,-0.877,1.4934146341463475,1.2690927195427093,-0.6,-2.0,-0.7,1.2999999999999998,-27
2005-02-09,FIFA World Cup qualification,South Korea,Kuwait,2,0,2,1,-1.5121212121212153,-1.8624999999999972,-5.920731707317074,3.4285714285714306,-2.0,-1.654545454545456,-2.2868322009867867,328.0,1.0,34.0,118.0,-1.5733562981733713,-1.4973867595818813,1.1380000000000001,-5.291071428571428,1.5733562981733713,0.0,2.1,0.8,-1.3,511
2005-02-09,FIFA World Cup qualification,Morocco,Kenya,5,1,4,1,2.5109890109890216,5.920000000000002,-3.0625,9.586956521739125,3.5,-1.802197802197803,-3.1729135132130573,71.0,3.0,44.0,117.0,3.69108910654563,3.341485507246375,1.4369999999999998,-3.666956521739124,3.69108910654563,0.2,1.9,0.8999999999999999,-1.0,343
2005-02-09,Friendly,Northern Ireland,Canada,0,1,-1,0,-1.5778012684989378,-3.1781609195402254,-1.6290760869565233,-0.6993464052287592,0.56666666666667,0.2672304439746327,1.7531249086176395,31.0,-1.0,-28.0,-96.0,-1.3035436027115552,-0.5872519418395376,-0.9359999999999999,-2.478814514311466,1.3035436027115552,-0.2,-1.7999999999999998,-0.7000000000000001,1.1,11
2005-02-09,Friendly,Poland,Belarus,1,3,-2,0,-6.721397955819313,-10.75,-5.41194968553458,-7.832608695652169,-8.307692307692307,-4.324101549620838,2.7792288419488296,328.0,7.0,38.0,123.0,-7.804729728939674,-7.184083562959685,1.263,-2.917391304347831,7.804729728939674,0.19999999999999996,0.7,0.3999999999999999,-0.30000000000000004,579
2005-02-09,Friendly,South Africa,Australia,1,1,0,0,4.579953086561012,4.2471590909090935,4.683170792698178,4.461052631578951,4.841666666666669,1.765146747525602,-0.906100624630823,-150.0,0.0,22.0,65.0,4.562600453682781,4.661963363647932,0.7249999999999999,-0.21389354066985788,4.562600453682781,-0.39999999999999997,-3.0,-2.7,0.30000000000000004,-270
2005-02-09,FIFA World Cup qualification,Uzbekistan,Saudi Arabia,1,1,0,0,7.311854103343471,1.4600000000000009,4.9297188755020045,8.937853107344637,8.910638297872346,2.347720364741644,1.7818223419989918,-324.0,1.0,-25.0,-80.0,6.3100128768124915,7.592736760239663,-0.83,-7.477853107344636,6.3100128768124915,-0.19999999999999996,-2.6,-0.30000000000000004,2.3,-373
2005-02-09,Friendly,Wales,Hungary,2,0,2,1,-4.215557020435057,-1.6363636363636402,-4.16153846153847,-4.691919191919197,-6.016666666666659,-1.1812788398154268,1.8134834158415662,86.0,3.0,-14.0,-34.0,-4.144408995384604,-4.956708106708109,-0.45399999999999996,3.055555555555557,4.144408995384604,-0.2,1.0,0.29999999999999993,-0.7000000000000001,276
2005-02-16,Friendly,Costa Rica,Ecuador,1,2,-1,0,-0.8583410997204055,-6.48863636363636,0.13574660633484825,1.2727272727272663,1.1666666666666714,-0.7092264678471558,0.5143402400522641,-8.0,0.0,10.0,44.0,-0.9543673835255959,0.8583801819095953,0.344,-7.761363636363626,0.9543673835255959,-0.19999999999999996,0.5,0.7,0.20000000000000018,31
2005-02-21,UNCAF Cup,Costa Rica,El Salvador,2,1,1,1,0.6551724137931103,-2.125,1.0769230769230802,2.2727272727272663,2.6666666666666714,-3.155172413793103,3.8588708025135317,27.0,1.0,93.0,276.0,0.9092978860220257,2.005439005439006,3.066,-4.397727272727266,0.9092978860220257,0.0,1.9,1.2,-0.7,279
2005-02-23,Friendly,Mexico,Colombia,1,1,0,0,-0.030142642642644546,-1.7230158730158678,0.49803648193331185,0.41145904553533796,1.9735849056603811,-0.4607357357357351,0.13403305181747527,-232.0,0.0,20.0,85.0,0.2259843834941037,0.9610268110430104,0.6849999999999999,-2.1344749185512057,0.2259843834941037,0.4,1.5,1.2000000000000002,-0.30000000000000004,394
